player_id,web_name,club_short,position,expected_role,draft_availability,cost,ownership_pct,total_season_xp,total_season_xmins,avg_xmins_season,xp_per_90_season,total_gw1_6_xp,total_gw1_6_xmins,avg_xmins_gw1_6,xp_per_90_gw1_6,n_gameweeks
327,Bijol,LEE,DEF,Regular Starter,eligible,5.0,0.3,125.78,2356.0,62.0,4.8047,19.58,372.0,62.0,4.7368,38
551,Angulo,SUN,MID,Regular Starter,eligible,5.0,0.1,125.15,2356.0,62.0,4.7807,20.12,372.0,62.0,4.8684,38
536,Reinildo,SUN,DEF,Nailed Starter,eligible,4.5,0.5,125.12,2945.0,77.5,3.8236,20.27,465.0,77.5,3.9227,38
203,Canvot,CRY,DEF,Regular Starter,eligible,5.0,0.5,124.97,2356.0,62.0,4.774,19.79,372.0,62.0,4.7882,38
198,Henderson,CRY,GKP,Nailed Starter,eligible,5.0,3.1,124.62,2945.0,77.5,3.8084,19.73,465.0,77.5,3.819,38
423,Shaw,MUN,DEF,Nailed Starter,eligible,4.5,24.2,124.52,2945.0,77.5,3.8054,20.31,465.0,77.5,3.9309,38
26,Havertz,ARS,FWD,Regular Starter,eligible,7.5,4.0,124.47,2356.0,62.0,4.7549,19.63,372.0,62.0,4.7488,38
13,Rice,ARS,MID,Regular Starter,eligible,7.5,22.3,124.33,2356.0,62.0,4.7493,19.62,372.0,62.0,4.7477,38
390,Rúben,MCI,DEF,Regular Starter,eligible,5.5,1.4,124.17,2356.0,62.0,4.7435,19.55,372.0,62.0,4.7303,38
193,Wright,COV,FWD,Regular Starter,eligible,5.5,1.8,124.07,2356.0,62.0,4.7394,19.81,372.0,62.0,4.7933,38
332,Justin,LEE,DEF,Regular Starter,eligible,4.5,0.5,123.97,2356.0,62.0,4.7357,19.27,372.0,62.0,4.6625,38
127,Gomez,BHA,MID,Regular Starter,eligible,5.0,1.9,123.07,2356.0,62.0,4.7014,19.52,372.0,62.0,4.7235,38
73,Adams,BOU,MID,Nailed Starter,eligible,5.0,0.7,122.84,2945.0,77.5,3.7541,18.77,465.0,77.5,3.633,38
535,Alderete,SUN,DEF,Regular Starter,eligible,5.0,1.2,122.58,2356.0,62.0,4.6826,19.8,372.0,62.0,4.7905,38
140,Sánchez,CHE,GKP,Nailed Starter,eligible,5.0,2.0,122.36,2945.0,77.5,3.7393,19.43,465.0,77.5,3.7603,38
257,Bassey,FUL,DEF,Nailed Starter,eligible,4.5,0.5,122.26,2945.0,77.5,3.7364,18.14,465.0,77.5,3.5119,38
250,Leno,FUL,GKP,Nailed Starter,eligible,4.5,3.2,122.21,2945.0,77.5,3.7347,18.28,465.0,77.5,3.5383,38
149,Colwill,CHE,DEF,Nailed Starter,eligible,5.0,1.9,122.18,2945.0,77.5,3.734,19.42,465.0,77.5,3.7591,38
57,Petrović,BOU,GKP,Nailed Starter,eligible,4.5,3.6,121.96,2945.0,77.5,3.727,17.03,465.0,77.5,3.2968,38
34,Pau,AVL,DEF,Regular Starter,eligible,4.5,0.2,121.13,2356.0,62.0,4.6272,19.15,372.0,62.0,4.6329,38
230,Branthwaite,EVE,DEF,Regular Starter,eligible,5.5,1.9,120.81,2356.0,62.0,4.6149,19.79,372.0,62.0,4.7886,38
25,Gyökeres,ARS,FWD,Regular Starter,eligible,7.5,13.2,120.47,2356.0,62.0,4.602,19.0,372.0,62.0,4.5968,38
