pair_name,gkp1_name,gkp1_club,gkp1_cost,gkp2_name,gkp2_club,gkp2_cost,combined_cost,combined_cost_band,total_mod_fdr,total_base_fdr,avg_mod_fdr,avg_base_fdr,n_gw_mod_le_2_25,pct_gw_mod_le_2_25,max_mod_fdr
Martinez (CHE) + Henderson (CRY),Martinez,CHE,5.0,Henderson,CRY,5.0,10.0,10.0,50.25,51.0,2.645,2.684,8,42.1,3.75
Henderson (CRY) + Horníček (NEW),Henderson,CRY,5.0,Horníček,NEW,5.0,10.0,10.0,50.25,51.0,2.645,2.684,8,42.1,3.75
Pickford (EVE) + Leno (FUL),Pickford,EVE,5.5,Leno,FUL,4.5,10.0,10.0,50.75,51.0,2.671,2.684,7,36.8,3.75
Henderson (CRY) + Trafford (LEE),Henderson,CRY,5.0,Trafford,LEE,5.0,10.0,10.0,51.75,53.0,2.724,2.789,7,36.8,4.25
Tzolakis (HUL) + A.Becker (LIV),Tzolakis,HUL,4.6,A.Becker,LIV,5.5,10.1,10.0,45.75,46.0,2.408,2.421,11,57.9,3.25
Pickford (EVE) + Tzolakis (HUL),Pickford,EVE,5.5,Tzolakis,HUL,4.6,10.1,10.0,46.75,48.0,2.461,2.526,9,47.4,3.25
Tzolakis (HUL) + Donnarumma (MCI),Tzolakis,HUL,4.6,Donnarumma,MCI,5.5,10.1,10.0,47.25,49.0,2.487,2.579,9,47.4,4.25
Donnarumma (MCI) + Lammens (MUN),Donnarumma,MCI,5.5,Lammens,MUN,5.0,10.5,10.5,43.25,47.0,2.276,2.474,11,57.9,3.75
Martinez (CHE) + Donnarumma (MCI),Martinez,CHE,5.0,Donnarumma,MCI,5.5,10.5,10.5,43.75,46.0,2.303,2.421,12,63.2,3.75
Donnarumma (MCI) + Roefs (SUN),Donnarumma,MCI,5.5,Roefs,SUN,5.0,10.5,10.5,43.75,46.0,2.303,2.421,12,63.2,3.75
Raya (ARS) + Kinsky (TOT),Raya,ARS,6.0,Kinsky,TOT,4.5,10.5,10.5,45.25,48.0,2.382,2.526,10,52.6,3.75
Henderson (CRY) + Donnarumma (MCI),Henderson,CRY,5.0,Donnarumma,MCI,5.5,10.5,10.5,45.25,48.0,2.382,2.526,10,52.6,3.75
Trafford (LEE) + Donnarumma (MCI),Trafford,LEE,5.0,Donnarumma,MCI,5.5,10.5,10.5,45.25,48.0,2.382,2.526,11,57.9,4.25
Raya (ARS) + Petrović (BOU),Raya,ARS,6.0,Petrović,BOU,4.5,10.5,10.5,45.75,48.0,2.408,2.526,9,47.4,3.25
Suzuki (AVL) + Donnarumma (MCI),Suzuki,AVL,5.0,Donnarumma,MCI,5.5,10.5,10.5,45.75,48.0,2.408,2.526,10,52.6,3.75
A.Becker (LIV) + Lammens (MUN),A.Becker,LIV,5.5,Lammens,MUN,5.0,10.5,10.5,45.75,48.0,2.408,2.526,11,57.9,3.75
Donnarumma (MCI) + Horníček (NEW),Donnarumma,MCI,5.5,Horníček,NEW,5.0,10.5,10.5,46.25,47.0,2.434,2.474,10,52.6,3.25
Suzuki (AVL) + A.Becker (LIV),Suzuki,AVL,5.0,A.Becker,LIV,5.5,10.5,10.5,46.25,48.0,2.434,2.526,10,52.6,3.75
Martinez (CHE) + Pickford (EVE),Martinez,CHE,5.0,Pickford,EVE,5.5,10.5,10.5,46.25,48.0,2.434,2.526,10,52.6,3.75
Trafford (LEE) + A.Becker (LIV),Trafford,LEE,5.0,A.Becker,LIV,5.5,10.5,10.5,46.25,48.0,2.434,2.526,11,57.9,3.75
A.Becker (LIV) + Horníček (NEW),A.Becker,LIV,5.5,Horníček,NEW,5.0,10.5,10.5,46.25,48.0,2.434,2.526,10,52.6,3.75
A.Becker (LIV) + Sels (NFO),A.Becker,LIV,5.5,Sels,NFO,5.0,10.5,10.5,46.75,47.0,2.461,2.474,10,52.6,3.25
Donnarumma (MCI) + Sels (NFO),Donnarumma,MCI,5.5,Sels,NFO,5.0,10.5,10.5,47.25,48.0,2.487,2.526,11,57.9,4.25
