horizon,strategy,type,pairing,gkp1,club1,price1,gkp2,club2,price2,total_price,num_gws,tot_rot_xp,rot_xp_per_gw,oc_score,dcs,s_risk,rot_avg_fdr,no_diff_pct,all_easy_pct,fdr_corr,foi,expected_cs
full_season,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Rushworth (COV),Verbruggen,BHA,4.5,Rushworth,COV,4.5,9.0,38,230.81,6.07,5.927,80.44,75.67,2.61,92.1,47.4,-0.1649,0.5145,12.91
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Petrović (BOU),Verbruggen,BHA,4.5,Petrović,BOU,4.5,9.0,3,23.12,7.71,7.56,72.0,30.0,3.25,33.3,33.3,0.0,0.5546,1.04
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Petrović (BOU),Verbruggen,BHA,4.5,Petrović,BOU,4.5,9.0,16,96.91,6.06,5.91,78.86,72.46,2.56,87.5,56.2,0.0893,0.5072,5.46
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Petrović (BOU),Verbruggen,BHA,4.5,Petrović,BOU,4.5,9.0,19,114.81,6.04,5.895,78.93,73.25,2.58,89.5,52.6,0.064,0.5147,6.41
full_season,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Petrović (BOU),Verbruggen,BHA,4.5,Petrović,BOU,4.5,9.0,38,229.32,6.03,5.887,76.56,67.65,2.66,84.2,50.0,0.2138,0.5199,12.44
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Kelleher (BRE),Verbruggen,BHA,4.5,Kelleher,BRE,5.0,9.5,3,23.75,7.92,7.623,74.07,35.17,2.75,33.3,33.3,0.866,0.476,1.28
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Kelleher (BRE),Verbruggen,BHA,4.5,Kelleher,BRE,5.0,9.5,16,96.82,6.05,5.757,77.22,74.88,2.62,93.8,43.8,-0.0121,0.5085,5.42
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Kelleher (BRE),Verbruggen,BHA,4.5,Kelleher,BRE,5.0,9.5,19,114.8,6.04,5.748,76.91,74.53,2.63,94.7,42.1,0.0796,0.5034,6.43
full_season,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Kelleher (BRE),Verbruggen,BHA,4.5,Kelleher,BRE,5.0,9.5,38,230.33,6.06,5.767,77.77,75.85,2.58,94.7,47.4,0.0674,0.5026,12.93
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Sánchez (CHE),Verbruggen,BHA,4.5,Sánchez,CHE,5.0,9.5,3,23.77,7.92,7.629,81.95,54.86,2.5,33.3,33.3,-0.982,0.5128,1.36
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Sánchez (CHE),Verbruggen,BHA,4.5,Sánchez,CHE,5.0,9.5,16,95.66,5.98,5.685,75.1,72.69,2.62,93.8,43.8,0.28,0.5162,5.06
