pre_clubs,pre_unique,pre_pattern,pre_sun,gw13_eff_fdr,gw1_avg_fdr,gw23_rot_fdr,pre_corr,n_swaps,out_clubs,in_clubs,post_clubs,post_unique,post_pattern,post_sun,gw419_rot_fdr,gw419_no_diff_pct,gw419_all_easy_pct,post_corr,path_eff_fdr,scenario_eligible,scenario_rank
BRE-BHA-EVE-MCI-NFO,5,1+1+1+1+1,0,2.6364,2.8,2.5,0.0366,2,"BRE,MCI","COV,LIV",BHA-COV-EVE-LIV-NFO,5,1+1+1+1+1,0,2.4792,100.0,18.8,-0.1308,2.508508,False,
ARS-LEE-LIV-LIV-MCI,4,2+1+1+1,0,2.6364,2.8,2.5,0.05,2,"LEE,LIV","AVL,COV",ARS-AVL-COV-LIV-MCI,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.0988,2.508508,False,
ARS-LEE-LIV-MCI-MCI,4,2+1+1+1,0,2.6364,2.8,2.5,0.05,2,"LEE,MCI","AVL,COV",ARS-AVL-COV-LIV-MCI,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.0988,2.508508,False,
BRE-BRE-IPS-LEE-MCI,4,2+1+1+1,0,2.6364,2.8,2.5,0.05,2,"BRE,BRE","COV,FUL",COV-FUL-IPS-LEE-MCI,5,1+1+1+1+1,0,2.4792,100.0,18.8,-0.1204,2.508508,False,
BRE-IPS-LEE-MCI-MCI,4,2+1+1+1,0,2.6364,2.8,2.5,0.05,2,"BRE,MCI","COV,FUL",COV-FUL-IPS-LEE-MCI,5,1+1+1+1+1,0,2.4792,100.0,18.8,-0.1204,2.508508,False,
IPS-LEE-LIV-LIV-MCI,4,2+1+1+1,0,2.6364,2.8,2.5,0.05,2,"LEE,LIV","CHE,NEW",CHE-IPS-LIV-MCI-NEW,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1753,2.508508,False,
IPS-LEE-LIV-MCI-MCI,4,2+1+1+1,0,2.6364,2.8,2.5,0.05,2,"LEE,MCI","CHE,NEW",CHE-IPS-LIV-MCI-NEW,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1753,2.508508,False,
ARS-CHE-LEE-TOT-TOT,4,2+1+1+1,0,2.6364,2.8,2.5,0.0701,2,"ARS,TOT","FUL,NFO",CHE-FUL-LEE-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,6.2,-0.1838,2.508508,False,
CHE-IPS-LEE-TOT-TOT,4,2+1+1+1,0,2.6364,2.8,2.5,0.0701,2,"IPS,TOT","FUL,NFO",CHE-FUL-LEE-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,6.2,-0.1838,2.508508,False,
ARS-BHA-LEE-LIV-LIV,4,2+1+1+1,0,2.6364,2.8,2.5,0.0732,2,"ARS,LIV","AVL,NFO",AVL-BHA-LEE-LIV-NFO,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1076,2.508508,False,
ARS-BHA-LEE-MCI-MCI,4,2+1+1+1,0,2.6364,2.8,2.5,0.0732,2,"ARS,MCI","COV,FUL",BHA-COV-FUL-LEE-MCI,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.149,2.508508,False,
AVL-AVL-CRY-LIV-MUN,4,2+1+1+1,0,2.6364,2.8,2.5,0.0732,2,"AVL,MUN","BOU,NEW",AVL-BOU-CRY-LIV-NEW,5,1+1+1+1+1,0,2.4792,100.0,6.2,-0.1674,2.508508,False,
AVL-AVL-CRY-LIV-SUN,4,2+1+1+1,1,2.6364,2.8,2.5,0.0732,2,"AVL,SUN","BOU,NEW",AVL-BOU-CRY-LIV-NEW,5,1+1+1+1+1,0,2.4792,100.0,6.2,-0.1674,2.508508,False,
AVL-AVL-CRY-MCI-MUN,4,2+1+1+1,0,2.6364,2.8,2.5,0.0732,2,"AVL,MUN","LIV,NEW",AVL-CRY-LIV-MCI-NEW,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1535,2.508508,False,
